,text,state,type_news,tags,n_of_tags,text_ml,numerical_sentiment,sentiment
0,"Por si sabéis de alguien: Van a sacrificar 6 cachorritos de dalmata en una perrera por cierre, si quieres alguno llama al 644 355 096 y pregunta por Helena. Si no te interesa por lo menos pasalo..Son totalmente gratuitos",0,Fake,"['sabéis', 'alguien', 'sacrificar', 'cachorritos', 'dalmata', 'perrera', 'cierre', 'quieres', 'alguno', 'llama', 'pregunta', 'helena', 'interesa', 'menos', 'pasalo', 'totalmente', 'gratuitos']",17,sabéis alguien sacrificar cachorritos dalmata perrera cierre quieres alguno llama pregunta helena interesa menos pasalo totalmente gratuitos,0.019872888591247376,Very Negative
1,"#CruzRoja se niega en #Algeciras a ayudar a un ciudadano español, “solo ofrecemos servicios a inmigrantes” dicen. Bien, desde aquí invito a todo aquel que colabore económicamente con ellos a que les corte el grifo.",0,Fake,"['cruzroja', 'niega', 'algeciras', 'ayudar', 'ciudadano', 'español', 'ofrecemos', 'servicios', 'inmigrantes', 'dicen', 'invito', 'aquel', 'colabore', 'económicamente', 'corte', 'grifo']",16,cruzroja niega algeciras ayudar ciudadano español ofrecemos servicios inmigrantes dicen invito aquel colabore económicamente corte grifo,0.17605160940775214,Very Negative
2," Si alguien sigue la actualidad municipal y las promesas electorales en un periodo superior a los cuatro años, es muy probable que afronte el debate de los candidatos alicantinos con una sensación de déjà vu. Existen cuatro o cinco teclas comunes (a saber",1,Real,"['alguien', 'sigue', 'actualidad', 'municipal', 'promesas', 'electorales', 'periodo', 'superior', 'cuatro', 'probable', 'afronte', 'debate', 'candidatos', 'alicantinos', 'sensación', 'existen', 'cuatro', 'cinco', 'teclas', 'comunes', 'saber']",21,alguien sigue actualidad municipal promesas electorales periodo superior cuatro probable afronte debate candidatos alicantinos sensación existen cuatro cinco teclas comunes saber,0.009806466764704916,Very Negative
3,"La francesa Stéphanie Frappart , que entrará este miércoles en la historia en la Supercopa de Europa entre el Liverpool y el Chelsea por ser la primera mujer que arbitrará una final masculina de competición UEFA , aseguró que está ""lista"" para esta cita y",1,Real,"['francesa', 'stéphanie', 'frappart', 'entrará', 'historia', 'supercopa', 'europa', 'liverpool', 'chelsea', 'primera', 'mujer', 'arbitrará', 'final', 'masculina', 'competición', 'aseguró', 'lista']",17,francesa stéphanie frappart entrará historia supercopa europa liverpool chelsea primera mujer arbitrará final masculina competición aseguró lista,0.0692001939426833,Very Negative
4,"A esto tranquilo que no te responderán, o sí: Fascista, vienen a pagarnos las pensiones (aún no sé como ), nadie es ilegal, la tierra es del viento, Catalunya será musulmana e inclusiva o no será, y todas esas mierdas CUP/Podemos/Colau que se les abre el ",0,Fake,"['tranquilo', 'responderán', 'fascista', 'vienen', 'pagarnos', 'pensiones', 'nadie', 'ilegal', 'tierra', 'viento', 'catalunya', 'musulmana', 'inclusiva', 'mierdas', 'podemos', 'colau']",16,tranquilo responderán fascista vienen pagarnos pensiones nadie ilegal tierra viento catalunya musulmana inclusiva mierdas podemos colau,0.3913622688911934,Negative
5,"Podemos ha remitido una carta a sus bases en la que les informa de la propuesta de investidura enviada a los socialistas y les avisa de que no aceptarán el ""trágala"" de Pedro Sánchez, es decir, la posición de ""o como yo digo, o elecciones"" porque es ""irre",1,Real,"['podemos', 'remitido', 'carta', 'bases', 'informa', 'propuesta', 'investidura', 'enviada', 'socialistas', 'avisa', 'aceptarán', 'trágala', 'pedro', 'sánchez', 'decir', 'posición', 'elecciones']",17,podemos remitido carta bases informa propuesta investidura enviada socialistas avisa aceptarán trágala pedro sánchez decir posición elecciones,0.05372912920071717,Very Negative
6,"¿Nos lo acaba de enviar nuestro informático: A los correos electrónicos esta llegando una citación a interrogatorio con logo de Ministerio del Interior, con número de expediente y todo. Al igual que también está llegando un correo de la Dian, con logo de ",0,Fake,"['acaba', 'enviar', 'informático', 'correos', 'electrónicos', 'llegando', 'citación', 'interrogatorio', 'ministerio', 'interior', 'número', 'expediente', 'igual', 'llegando', 'correo']",15,acaba enviar informático correos electrónicos llegando citación interrogatorio ministerio interior número expediente igual llegando correo,0.07228884470855984,Very Negative
7,"El el sociólogo cubano Alejandro Portes, considerado uno de los expertos más influyentes en el análisis de las migraciones, Premio Princesa de Ciencias Sociales.",1,Real,"['sociólogo', 'cubano', 'alejandro', 'portes', 'considerado', 'expertos', 'influyentes', 'análisis', 'migraciones', 'premio', 'princesa', 'ciencias', 'sociales']",13,sociólogo cubano alejandro portes considerado expertos influyentes análisis migraciones premio princesa ciencias sociales,0.49789225920557484,Neutral
8,El PP no se sentará con Vox antes de cerrar los pactos con Ciudadanos ,1,Real,"['sentará', 'cerrar', 'pactos', 'ciudadanos']",4,sentará cerrar pactos ciudadanos,0.4774104547841149,Neutral
9,"Rodrigo de Castilla.- No, señores. No es una broma. Es completamente real, e incluimos enlaces y documentación gráfica de los hechos que les contamos. Busquen ustedes mismos. La verdad está ahí fuera. Ahora ya sabemos cual será la degradación final. Comer",0,Fake,"['rodrigo', 'castilla', 'señores', 'broma', 'completamente', 'incluimos', 'enlaces', 'documentación', 'gráfica', 'hechos', 'contamos', 'busquen', 'ustedes', 'mismos', 'verdad', 'sabemos', 'degradación', 'final', 'comer']",19,rodrigo castilla señores broma completamente incluimos enlaces documentación gráfica hechos contamos busquen ustedes mismos verdad sabemos degradación final comer,0.00010271955964677044,Very Negative
